iter	Passed	Remaining
764	4530	1391
765	4543	1387
766	4551	1382
767	4555	1376
768	4563	1370
769	4574	1366
770	4586	1362
771	4590	1355
772	4601	1351
773	4606	1345
774	4608	1338
775	4611	1331
776	4613	1324
777	4615	1317
778	4617	1309
779	4621	1303
780	4622	1296
781	4624	1289
782	4627	1282
783	4628	1275
784	4630	1268
785	4632	1261
786	4635	1254
787	4637	1247
788	4639	1240
789	4641	1233
790	4642	1226
791	4644	1219
792	4645	1212
793	4647	1205
794	4649	1198
795	4655	1193
796	4657	1186
797	4659	1179
798	4660	1172
799	4662	1165
800	4664	1158
801	4669	1152
802	4671	1145
803	4672	1139
804	4674	1132
805	4676	1125
806	4680	1119
807	4683	1112
808	4684	1106
809	4686	1099
810	4689	1092
811	4690	1086
812	4692	1079
813	4697	1073
814	4698	1066
815	4700	1059
816	4702	1053
817	4704	1046
818	4706	1040
819	4710	1033
820	4712	1027
821	4714	1020
822	4716	1014
823	4717	1007
824	4719	1001
825	4721	994
826	4728	989
827	4732	982
828	4733	976
829	4735	969
830	4737	963
831	4740	957
832	4742	950
833	4747	945
834	4750	938
835	4756	933
836	4761	927
837	4763	920
838	4770	915
839	4773	909
840	4775	902
841	4779	896
842	4785	891
843	4788	885
844	4791	878
845	4793	872
846	4795	866
847	4800	860
848	4802	854
849	4804	847
850	4806	841
851	4808	835
852	4811	829
853	4814	823
854	4818	817
855	4822	811
856	4825	805
857	4830	799
858	4832	793
859	4834	787
860	4837	780
861	4839	774
862	4842	768
863	4845	762
864	4847	756
865	4849	750
866	4852	744
867	4855	738
868	4858	732
869	4860	726
870	4862	720
871	4864	714
872	4866	707
873	4868	701
874	4870	695
875	4873	689
876	4875	683
877	4877	677
878	4880	671
879	4881	665
880	4883	659
881	4885	653
882	4889	647
883	4890	641
884	4893	635
885	4895	629
886	4897	623
887	4898	617
888	4900	611
889	4904	606
890	4907	600
891	4909	594
892	4910	588
893	4912	582
894	4914	576
895	4917	570
896	4919	564
897	4921	559
898	4923	553
899	4924	547
900	4926	541
901	4929	535
902	4932	529
903	4934	523
904	4936	518
905	4938	512
906	4940	506
907	4943	500
908	4947	495
909	4949	489
910	4951	483
911	4953	477
912	4954	472
913	4956	466
914	4961	460
915	4964	455
916	4966	449
917	4970	443
918	4971	438
919	4976	432
920	4978	427
921	4980	421
922	4981	415
923	4983	409
924	4985	404
925	4986	398
926	4991	393
927	4992	387
928	4994	381
929	4995	376
930	4997	370
931	4999	364
932	5001	359
933	5003	353
934	5005	347
935	5007	342
936	5009	336
937	5011	331
938	5012	325
939	5014	320
940	5018	314
941	5020	309
942	5022	303
943	5024	298
944	5025	292
945	5027	286
946	5029	281
947	5033	276
948	5035	270
949	5037	265
950	5039	259
951	5040	254
952	5042	248
953	5044	243
954	5046	237
955	5049	232
956	5051	226
957	5053	221
958	5055	216
959	5057	210
960	5059	205
961	5060	199
962	5064	194
963	5066	189
964	5068	183
965	5070	178
966	5071	173
967	5073	167
968	5074	162
969	5078	157
970	5079	151
971	5082	146
972	5085	141
973	5087	135
974	5089	130
975	5092	125
976	5094	119
977	5096	114
978	5097	109
979	5099	104
980	5101	98
981	5102	93
982	5105	88
983	5110	83
984	5113	77
985	5118	72
986	5124	67
987	5127	62
988	5133	57
989	5139	51
990	5143	46
991	5144	41
992	5147	36
993	5150	31
994	5155	25
995	5157	20
996	5158	15
997	5160	10
998	5163	5
999	5166	0
